Año,Edad,Peso
1996,53.0,69.66666666666667
1996,54.0,73.0
1996,56.0,83.0
1996,58.0,55.0
1996,59.0,82.0
1996,62.0,83.0
1996,63.0,77.0
1998,14.0,62.0
1998,15.0,50.75
1998,16.0,62.970588235294116
1998,17.0,60.97826086956522
1998,18.0,63.74444444444445
1998,19.0,64.84821428571429
1998,20.0,66.33507853403141
1998,21.0,68.056
1998,22.0,68.42913385826772
1998,23.0,69.86019736842105
1998,24.0,71.13880126182966
1998,25.0,70.62573099415205
1998,26.0,70.88461538461539
1998,27.0,74.45535714285714
1998,28.0,72.73412698412699
1998,29.0,72.14488636363636
1998,30.0,78.23376623376623
1998,31.0,72.50980392156863
1998,32.0,75.55309734513274
1998,33.0,77.91935483870968
1998,34.0,78.8125
1998,35.0,79.08571428571429
1998,36.0,73.26666666666667
1998,37.0,75.08695652173913
1998,38.0,68.5
1998,39.0,82.58333333333333
1998,40.0,74.33333333333333
1998,42.0,81.0
1998,43.0,90.0
1998,44.0,75.0
1998,50.0,91.0
2000,13.0,44.5
2000,14.0,49.25
2000,15.0,52.22641509433962
2000,16.0,49.64150943396226
2000,17.0,60.48320895522388
2000,18.0,62.42857142857143
2000,19.0,64.24452554744525
2000,20.0,67.48596750369276
2000,21.0,70.87070815450643
2000,22.0,71.26133209990749
2000,23.0,71.82891125343093
2000,24.0,72.97224631396357
2000,25.0,73.05211406096362
2000,26.0,72.40680473372781
2000,27.0,73.5463645943098
2000,28.0,73.86795994993741
2000,29.0,73.52919161676647
2000,30.0,73.5580589254766
2000,31.0,73.66144745998609
2000,32.0,75.00681198910081
2000,33.0,76.42250922509226
2000,34.0,70.81194690265487
2000,35.0,73.54117647058824
2000,36.0,73.91304347826087
2000,37.0,75.1842105263158
2000,38.0,76.01086956521739
2000,39.0,75.36170212765957
2000,40.0,75.25
2000,41.0,74.42553191489361
2000,42.0,71.28378378378379
2000,43.0,74.58064516129032
2000,44.0,75.43478260869566
2000,45.0,75.15789473684211
2000,46.0,81.625
2000,47.0,76.33333333333333
2000,49.0,78.875
2000,51.0,64.0
2000,52.0,97.0
2000,53.0,67.4
2000,54.0,66.0
2000,57.0,104.0
2000,59.0,66.0
2000,63.0,82.0
2002,15.0,61.44444444444444
2002,16.0,60.42857142857143
2002,17.0,62.578947368421055
2002,18.0,65.11309523809524
2002,19.0,64.1590909090909
2002,20.0,67.28813559322033
2002,21.0,70.1652719665272
2002,22.0,68.7410071942446
2002,23.0,68.72698412698412
2002,24.0,69.8798955613577
2002,25.0,71.49852071005917
2002,26.0,71.11073825503355
2002,27.0,70.68646864686468
2002,28.0,71.95276872964169
2002,29.0,74.50729927007299
2002,30.0,73.95024875621891
2002,31.0,76.13440860215054
2002,32.0,76.9430894308943
2002,33.0,75.00625
2002,34.0,76.56122448979592
2002,35.0,73.93478260869566
2002,36.0,76.2
2002,37.0,75.53571428571429
2002,38.0,80.14285714285714
2002,39.0,84.66666666666667
2002,40.0,81.4
2002,41.0,83.33333333333333
2002,43.0,77.0
2002,44.0,94.0
2002,45.0,81.0
2002,48.0,70.33333333333333
2004,13.0,52.125
2004,14.0,57.57142857142857
2004,15.0,50.301886792452834
2004,16.0,51.64666666666667
2004,17.0,58.47325102880659
2004,18.0,60.88582677165354
2004,19.0,65.35651408450704
2004,20.0,69.17158385093168
2004,21.0,70.5316301703163
2004,22.0,71.81360946745562
2004,23.0,72.1641592920354
2004,24.0,72.08039961941009
2004,25.0,72.06086956521739
2004,26.0,73.90851063829787
2004,27.0,73.76777251184834
2004,28.0,73.79270946681176
2004,29.0,74.28105590062111
2004,30.0,72.9162210338681
2004,31.0,75.08196721311475
2004,32.0,74.51745635910224
2004,33.0,74.29166666666667
2004,34.0,73.70553359683794
2004,35.0,71.95923913043478
2004,36.0,72.12403100775194
